# Native .text contribution start	unit (11 August 2026 build)
00401000	system
00407AF4	sysinit
00407BFC	types
00407C54	windows
00408AD4	activex
00408AF4	sysconst
00408DEC	sysutils
0040FD5C	varutils
0041054C	variants
00412EDC	rtlconsts
00412FD4	typinfo
0041385C	classes
0041D51C	inifiles
0041D57C	registry
0041DC54	math
0041DFF8	contnrs
0041E18C	helpintfs
0041F3F0	multimon
0041FB64	commctrl
0041FCF8	consts
0041FF58	graphics
0042951C	syncobjs
00429688	uxtheme
0042A244	dwmapi
0042A3D8	shellapi
0042A3E0	shlobj
0042A3F0	stdctrls
0042C7B4	printers
0042C7F0	widestrutils
0042C838	graphutil
0042D5B0	extctrls
0042E5BC	dialogs
004300E4	clipbrd
004306B0	stdactns
004307E0	flatsb
00430AF0	menus
004385D4	controls
0044C0C8	themes
0044CC40	imglist
0044E320	actnlist
0044F654	forms
0045E7C0	mmsystem
0045E7E8	globalsv
0045EB5C	direct3d9
0045EC80	ec_struct
0045F028	ec_filestream
0045F648	directsound
0045F708	ec_expression
00471F9C	blockparexception
00472098	gr_rect
004728CC	gi_panel
004737EC	gi_simpleimage
004744FC	ec_cachetbitmap
00474860	gi_transimage
00475398	ec_cachealphabitmap
00475A3C	gi_alphaimage
00476918	gr_gi
004787EC	ec_cachegi
0047B4D4	gi_gi
0047C680	ec_cachegai
0047D4BC	gi_graphbuf
0047EABC	gi_image
0047FE50	gi_gai
00483244	gi_aimage
00483A8C	ec_cachefont
00488920	gi_label
0048C7D8	gi_scrollbar
00490764	gi_panelscrollbar
004917E0	gi_window
00492764	gi_sbpath
00493254	ec_cachepalbitmap
0049350C	ec_cacherotatebuf
0049399C	gi_rotateimage
00494314	gi_rotateimage2
00494EA4	ec_cachehsai
004953CC	gi_rotateimage5
00496F40	gi_rotateimagegai
0049844C	gi_infiniteimage
004989A4	gi_gaifile
0049A53C	gi_multiimage
0049B774	gi_door
0049BE3C	gi_simplebutton
0049C4F4	gi_textbutton
0049DC10	gi_graphbutton
004A1080	gi_zone
004A18D0	gi_edit
004A3DC0	gi_countbar
004A50A8	gi_statusbar
004A5AA4	ec_cachelightpal
004A60A0	ec_cacheplanettempl
004A6468	gi_planet
004A99EC	gi_planetbutton
004A9F58	gi_checkbox
004AA6E0	gi_radiogroup
004AAE24	gi_line
004AB1D4	gi_frame
004ABA04	gi_grid
004AE978	gi_circle
004AFA00	gi_shrlight
004B00F8	gi_starfield
004B1360	gi_starfieldm
004B2478	gi_starfieldimg
004B38C8	gi_spacecircle
004B4770	gi_spaceimg
004B565C	gi_polyline
004B6BCC	vfw
004B6C68	gi_xvid
004B7AA0	breakmessagegiexception
004B7AFC	gi_main
004B9480	gi_cursor
004BA424	popup
004BAE80	gi_messageloop
004C221C	ec_okgf
004C2224	ec_hsfile
004C5538	apacket
004C5900	directxrenderexception
004C5A9C	dateutils
004C5AFC	tlhelp32
004C5DD8	messagetext
004C6044	gr_main
004D5B44	se_soundrnd
004D639C	gi_tail
004D7418	gi_messagebox
004D8534	se_gate
004D9490	avector
004DB498	agalaxystruct
004DB4E0	apath
004DC45C	gi_psweapon
004DC734	acalc
004DC780	ec_ether
004DCCAC	textfieldclass
004DCE78	parviewstringclass
004DD024	valuelistclass
004DD76C	cpdiapclass
004DE4A8	eventclass
004DE76C	parameterclass
004DF774	cpvarclass
004DFCA8	calcparseclass
004E4BE0	parameterdeltaclass
004E5640	pathclass
004E6BF0	locationclass
004E866C	sequenceclass
004E8A28	textquestinterface
004E8D5C	textquest
004EC5A4	ab_global
004EE158	agroup
004EF47C	se_missile
004EFF88	amissile
004F3480	agalaxyevent
004F3AC0	ab_w01
004F432C	ab_w02
004F48F4	ab_w03
004F4DE4	ab_w04
004F55D0	ab_w05
004F5DA0	ab_w06
004F62D0	ab_w07
004F6A1C	ab_w08
004F70B4	ab_w09
004F783C	ab_w10
004F8100	ab_w11
004F88A8	ab_w12
004F8F24	ab_w13
004F955C	ab_w14
004F9A6C	ab_w15
004FA11C	ab_w16
004FAA00	ab_w17
004FB2AC	ab_w18
004FBA2C	ab_w
004FE24C	ab_shipai
005015B0	abwall
00501E90	ab_ship
005049E8	flistbox
00505990	ftextbox
00506858	cheatcode
0050CB04	apirate
005175C8	awarrior
00520E3C	fcount2
005224F0	fchameleon
00523D18	asaveload
00526284	globals
00538F04	fachievements
0053A558	ec_cachebuf
0053A7F4	ab_polygon
0053B550	ab_mainform
0054BE60	ab_item
0054CC0C	ab_hit
0054E2C0	ab_object
0054F680	ab_space
005539D4	ab_zone
00554FD4	ab_stopline
0055667C	ab_worldimage
00556EA8	ab_worldline
005573CC	floadab
005591A8	floadquest
0055CA74	floadrobot
00560FDC	fjournal
00564144	fselectface
005655F0	frating2
0056CEA0	fgamesettings2
0057AB54	exceptioninfo
0057AFEC	simplesteamapi
0057B604	fscore
005836F0	aplayer
00591A60	nosteamachievemens
0059297C	wstringutils
00592A1C	achievements
00594CF0	fabout
00595B60	frewards
0059776C	finfo
005A5FA4	fruinstalk
005DC4DC	fplanetquest
005E4DE4	fgameend
005E8168	akling
005EFD28	amodsinfo
005F21BC	fcfgsettings
00602808	fgamemenu
0060371C	se_gaieffect
00603C18	fcount1
006050AC	fcustom
00605480	ascriptfun
0064C094	ascript
0065C5FC	atranclucator
0065FF98	ffilmfile
00660520	fintroduction
00661994	fgameload
0066267C	fsavemanager
00667FDC	fload
00669BE4	fhangar
006709E8	fjump
0067182C	fgalaxy2
0067B5E0	fmods
006814D0	fmainform
006843C8	ffilm
00686D20	gi_psweapon01laser
00688344	gi_psweapon02fragcannon
006899C8	gi_psweapon03lezka
0068AE88	gi_psweapon05treton
0068C1D4	gi_psweapon06phaser
0068D12C	gi_psweapon07blaster
0068E7A0	gi_psweapon08ecutter
0068F424	gi_psweapon09mresonator
00690EC8	gi_psweapon10avision
00691D34	gi_psweapon11desintegrator
006934A8	gi_psweapon12turbogravir
00694F4C	gi_psweapon13imho
00695C80	gi_psweapon14vertix
00695EB4	gi_psweapon16esodafer
006976B4	gi_psweapon17kafacitor
00698AA8	gi_pseyes
0069A768	gi_pdturretweapon
0069B03C	gi_psmissilehit
0069B27C	gi_radialeffect
0069CD64	se_weapon
006A15D4	aefilmend
006A1F00	aeobjinfo
006A48B0	fstarmap
006C77EC	fgov
006D0EE0	ftalk
006E69D0	fscaner
006EFFE4	fship2
00713DC8	aruins
0071CEF0	se_ruins
0071E4BC	atransport
00724BC0	aranger
0073D7BC	anormalship
00747B7C	aship
0077F760	aplanet
00796E9C	aasteroid
00797CE8	se_asteroid
00798334	se_sputnik
00798CE4	crcunit
00798F30	fgint
0079BEE0	fgintrsa
0079C154	agalaxy
007D4AA8	fgoodsshop2
007DC884	fequipmentshop
007E3C14	fpanelruins
007E4874	threadcalc
007E516C	fplanetno
007ECBE8	se_hole
007ED600	aitem
0080CFDC	aefilm
008109E4	se_container
00811044	fplanet
0081294C	fpanelplanet
008137D8	fpanelmain
00818334	fgamesettings
0081BA68	se_planet
0082043C	se_ship2
00823880	se_starsfield
00823C00	se_laser
008245CC	se_anim
00824B1C	se_bgobj
00824E18	se_comet
008265F4	se_angel
008278F8	se_meteorite
00828158	se_process
008299EC	se_star
0082A24C	aconst
00838C6C	se_space
0083AB50	fpanelload
0083C128	robot
0083D9B0	ec_cachebitmap
0083DCE0	ec_cachesound
0083E084	ec_cache
0083F760	ec_data
0084665C	ec_blockpar
00849E70	gr_music
0084B2C0	gr_sound
0084E5D8	vorbisfile
0084EEA8	ec_thread
0084F5C8	gr_dx
00851D50	jconsts
00851D68	jpeg
008650D0	gr_graphbuf
0086B5EC	gr_graphbufpal
0086BA78	ec_buf
0086D518	ec_file
0086E0F0	se_garbage
0086E598	ec_mem
0086EE60	ec_str
008720FC	amyfunction
008741F8	rangers
